Force X (N),Force Y (N),Force Z (N),Torque X (N-m),Torque Y (N-m),Torque Z (N-m),Frequency = 1000,Averaging Level = 16,F/T Serial Number = FT18766,Time Started = 2020-02-27 11:16:52 AM
-0.428134263,-58.95673752,-47.01435852,6.291213036,-0.122469783,-0.284808874,,,,
-0.351034403,-59.01140213,-47.24877548,6.257709026,-0.129312009,-0.325281978,,,,
-0.410661876,-59.08189011,-46.6658287,6.229977131,-0.042572092,-0.340822607,,,,
-0.498822302,-59.09394836,-46.39373779,6.204617977,-0.057035327,-0.327092052,,,,
-0.554334223,-59.04399872,-46.33752441,6.199763298,-0.015587758,-0.286305696,,,,
-0.338478923,-58.85772705,-46.86274338,6.233518124,0.011295924,-0.319604427,,,,
-0.140693367,-58.94017029,-47.61267853,6.233683586,-0.00390856,-0.300189465,,,,
-0.254523754,-58.85326767,-47.45702744,6.21811676,0.044886269,-0.27892375,,,,
-0.298851609,-59.07291412,-45.62473679,6.196175575,-0.027094949,-0.273389608,,,,
-0.099199764,-58.71719742,-47.82650375,6.242664337,-0.048087403,-0.268518597,,,,
-0.150590107,-58.16834259,-49.2934227,6.279937744,0.025247065,-0.307856619,,,,
-0.374353319,-58.39809418,-48.62919998,6.260041714,-0.064005509,-0.271823168,,,,
-0.156196997,-58.07030487,-49.539814,6.321371555,0.0188738,-0.294772863,,,,
-0.110086359,-57.84840775,-49.83518982,6.329983234,-0.032298386,-0.273137599,,,,
-0.262060553,-57.65500641,-51.19121933,6.362221241,-0.034397263,-0.296539962,,,,
-0.508827209,-57.60212326,-50.89575577,6.333141327,0.086482577,-0.308160931,,,,
-0.720283568,-58.22185516,-49.2349472,6.322559357,0.077677116,-0.266174525,,,,
-0.667234421,-58.15967941,-48.8250885,6.371129513,0.124985538,-0.31495136,,,,
-0.795156717,-58.1326561,-50.13561249,6.350038052,0.120352045,-0.269193858,,,,
-0.605135679,-57.82045364,-50.93464661,6.369024754,0.142635599,-0.272185773,,,,
-0.460520685,-57.6720314,-50.50813675,6.337268829,0.281892985,-0.261353523,,,,
-0.426765144,-57.94745636,-49.74856949,6.287277222,0.200600818,-0.223356798,,,,
-0.183196396,-57.58523941,-50.6256485,6.333707333,0.158632994,-0.26723814,,,,
-0.213277891,-57.64977264,-50.74427414,6.300663471,0.127594262,-0.283158392,,,,
-0.125033513,-57.34030533,-51.28640366,6.322706223,0.139599204,-0.2263937,,,,
-0.391499579,-57.41878128,-51.28560638,6.326691151,0.191340819,-0.224733621,,,,
-0.321047127,-56.91831207,-52.3106308,6.377088547,0.119703785,-0.238298491,,,,
-0.113914311,-56.66526794,-53.83374023,6.383324623,0.160083994,-0.281710505,,,,
-0.633287668,-56.85004044,-54.03620529,6.40686655,0.149107397,-0.280764341,,,,
-0.630399883,-56.93714142,-52.59260559,6.432909489,0.232421726,-0.281642199,,,,
-0.46197322,-57.25659943,-52.74092102,6.452451229,0.298712939,-0.265969604,,,,
-0.476601243,-57.52659225,-52.32820892,6.431619167,0.248270065,-0.270352721,,,,
-0.356061369,-57.9553299,-50.97080231,6.419863224,0.187627971,-0.307041258,,,,
-0.204813406,-58.36511612,-49.41138077,6.391262531,0.094080605,-0.352715731,,,,
-0.194617167,-58.60942841,-48.85765839,6.340677261,-0.065796353,-0.326124489,,,,
-0.034764796,-58.25453186,-50.2689476,6.368659019,0.004885165,-0.340980887,,,,
-0.143326849,-57.77586365,-50.87385178,6.336676121,-0.113539405,-0.317243725,,,,
